commonName,Type,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,redshift,redshift_lower,redshift_upper,p_astro,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW150914,Binary Black Hole Collision,35.6,-3.1,4.7,30.6,-4.4,3,26,-0.2,0.1,440,-170,150,-0.01,-0.13,0.12,,,,28.6,-1.5,1.7,0.09,-0.03,0.03,1,63.1,-3,3.4
GW151012,Binary Black Hole Collision,23.2,-5.5,14.9,13.6,-4.8,4.1,10,,,1080,-490,550,0.05,-0.2,0.31,,,,15.2,-1.2,2.1,0.21,-0.09,0.09,1,35.6,-3.8,10.8
GW151226,Binary Black Hole Collision,13.7,-3.2,8.8,7.7,-2.5,2.2,13.1,,,450,-190,180,0.18,-0.12,0.2,,,,8.9,-0.3,0.3,0.09,-0.04,0.04,1,20.5,-1.5,6.4
GW170104,Binary Black Hole Collision,30.8,-5.6,7.3,20,-4.6,4.9,13.8,-0.3,0.2,990,-430,440,-0.04,-0.21,0.17,,,,21.4,-1.8,2.2,0.2,-0.08,0.08,1,48.9,-4,5.1
GW170608,Binary Black Hole Collision,11,-1.7,5.5,7.6,-2.2,1.4,15.4,,,320,-110,120,0.03,-0.07,0.19,,,,7.9,-0.2,0.2,0.07,-0.02,0.02,1,17.8,-0.7,3.4
GW170729,Binary Black Hole Collision,50.2,-10.2,16.2,34,-10.1,9.1,10.8,,,2840,-1360,1400,0.37,-0.25,0.21,,,,35.4,-4.8,6.5,0.49,-0.21,0.19,0.98,79.5,-10.2,14.7
GW170809,Binary Black Hole Collision,35,-5.9,8.3,23.8,-5.2,5.1,12.8,-0.3,0.2,1030,-390,320,0.08,-0.17,0.17,,,,24.9,-1.7,2.1,0.2,-0.07,0.05,1,56.3,-3.8,5.2
GW170814,Binary Black Hole Collision,30.6,-3,5.6,25.2,-4,2.8,17.7,-0.3,0.2,600,-220,150,0.07,-0.12,0.12,,,,24.1,-1.1,1.4,0.12,-0.04,0.03,1,53.2,-2.4,3.2
GW170817,Binary Neutron Star Collision,1.46,-0.1,0.12,1.27,-0.09,0.09,33,,,40,-15,7,0,-0.01,0.02,,,,1.186,-0.001,0.001,0.01,0,0,1,2.8,,
GW170818,Binary Black Hole Collision,35.4,-4.7,7.5,26.7,-5.2,4.3,12,-0.4,0.3,1060,-380,420,-0.09,-0.21,0.18,,,,26.5,-1.7,2.1,0.21,-0.07,0.07,1,59.4,-3.8,4.9
GW170823,Binary Black Hole Collision,39.5,-6.7,11.2,29,-7.8,6.7,12.2,-0.3,0.2,1940,-900,970,0.09,-0.26,0.22,,,,29.2,-3.6,4.6,0.35,-0.15,0.15,1,65.4,-7.4,10.1
GW190403_051519,Binary Black Hole Collision,85,-33,27.8,20,-8.4,26.3,7.6,-1.1,0.6,8280,-4290,6720,0.68,-0.43,0.16,106.6,-23.6,26.7,34,-8.4,15.1,1.18,-0.53,0.73,0.60924,102.2,-24.3,26.3
GW190408_181802,Binary Black Hole Collision,24.8,-3.5,5.4,18.5,-4,3.3,14.6,-0.3,0.2,1540,-620,440,-0.03,-0.17,0.13,43.4,-3,4.2,18.5,-1.2,1.9,0.29,-0.11,0.07,1,41.4,-2.9,3.9
GW190412,Binary Black Hole Collision,27.7,-6,6,9,-1.4,2,19.8,-0.3,0.2,720,-220,240,0.21,-0.13,0.12,36.8,-4.4,4.7,13.3,-0.5,0.5,0.15,-0.04,0.04,1,35.6,-4.5,4.8
GW190413_052954,Binary Black Hole Collision,33.7,-6.4,10.4,24.2,-7,6.5,9,-0.8,0.4,3320,-1400,1910,-0.04,-0.32,0.27,58,-7.8,10.6,24.5,-3.4,4.6,0.56,-0.21,0.25,0.9275,55.5,-7.3,10.1
GW190413_134308,Binary Black Hole Collision,51.3,-12.6,16.6,30.4,-12.7,11.7,10.6,-0.5,0.4,3800,-1830,2480,-0.01,-0.38,0.28,81.3,-11.8,16.8,33.3,-6.3,7.8,0.62,-0.26,0.32,0.99058,78,-11.5,16.1
GW190421_213856,Binary Black Hole Collision,42,-7.4,10.1,32,-9.8,8.3,10.7,-0.4,0.2,2590,-1240,1490,-0.1,-0.27,0.21,73.6,-9.5,13.2,31.4,-4.6,6,0.45,-0.19,0.21,0.99792,70.5,-9,12.4
GW190425,Binary Neutron Star Collision,2.1,-0.4,0.5,1.3,-0.2,0.3,12.4,-0.4,0.4,150,-60,80,0.07,-0.05,0.07,3.4,-0.1,0.3,1.44,-0.02,0.02,0.03,-0.01,0.02,0.78349,,,
GW190426_190642,Binary Black Hole Collision,105.5,-24.1,45.3,76,-36.5,26.2,8.7,-0.6,0.4,4580,-2280,3400,0.23,-0.41,0.42,182.3,-35.7,40.2,76,-17.4,19.1,0.73,-0.32,0.41,0.75053,172.9,-33.6,37.7
GW190503_185404,Binary Black Hole Collision,41.3,-7.7,10.3,28.3,-9.2,7.5,12.2,-0.4,0.2,1520,-600,630,-0.05,-0.3,0.23,69.4,-8.6,10.1,29.3,-4.4,4.5,0.29,-0.1,0.1,1,66.5,-7.9,9.4
GW190512_180714,Binary Black Hole Collision,23.2,-5.6,5.6,12.5,-2.6,3.5,12.7,-0.4,0.3,1460,-590,510,0.02,-0.14,0.13,35.8,-3.5,4.1,14.6,-0.9,1.4,0.28,-0.1,0.08,1,34.3,-3.4,4.1
GW190513_205428,Binary Black Hole Collision,36,-9.7,10.6,18.3,-4.7,7.4,12.5,-0.4,0.3,2210,-810,990,0.16,-0.22,0.29,54.4,-6.7,9.3,21.8,-2.2,3.8,0.4,-0.13,0.14,0.99998,52.1,-6.6,8.8
GW190514_065416,Binary Black Hole Collision,40.9,-9.3,17.3,28.4,-10.1,10,8,-0.6,0.3,3890,-2070,2610,-0.08,-0.35,0.29,69.3,-12.1,19.8,29.1,-5.4,8.1,0.64,-0.3,0.33,0.76021,66.4,-11.5,19
GW190517_055101,Binary Black Hole Collision,39.2,-9.2,13.9,24,-7.9,7.4,10.8,-0.6,0.5,1790,-880,1750,0.49,-0.28,0.21,64.1,-9.8,9.9,26.5,-4.2,4,0.33,-0.15,0.26,1,60.1,-9.4,9.9
GW190519_153544,Binary Black Hole Collision,65.1,-11,10.8,40.8,-12.7,11.5,15.9,-0.3,0.2,2600,-960,1720,0.33,-0.24,0.2,105.6,-13.9,14.4,44.3,-7.5,6.8,0.45,-0.15,0.24,1,100,-12.9,13
GW190521,Binary Black Hole Collision,98.4,-21.7,33.6,57.2,-30.1,27.1,14.3,-0.4,0.5,3310,-1800,2790,-0.14,-0.45,0.5,153.1,-16.2,42.2,63.3,-14.6,19.6,0.56,-0.27,0.36,0.99989,147.4,-16,40
GW190521_074359,Binary Black Hole Collision,43.4,-5.5,5.8,33.4,-6.8,5.2,25.9,-0.2,0.1,1080,-530,580,0.1,-0.13,0.13,76.3,-5.9,7,32.8,-2.8,3.2,0.21,-0.1,0.1,1,72.6,-5.4,6.5
GW190527_092055,Binary Black Hole Collision,35.6,-8,18.7,22.2,-8.7,9,8,-0.9,0.4,2520,-1230,2080,0.1,-0.22,0.22,58.1,-8.8,18.1,23.9,-3.9,6.8,0.44,-0.19,0.29,0.84784,55.5,-8.5,17.9
GW190602_175927,Binary Black Hole Collision,71.8,-14.6,18.1,44.8,-19.6,15.5,13.2,-0.3,0.2,2840,-1280,1930,0.12,-0.28,0.25,115.6,-14.8,19.2,48,-9.7,9.5,0.49,-0.2,0.26,1,110.5,-13.9,17.9
GW190620_030421,Binary Black Hole Collision,58,-13.3,19.2,35,-14.5,13.1,12.1,-0.4,0.3,2910,-1320,1710,0.34,-0.29,0.22,92.7,-13.2,18.5,38.1,-7.2,8.5,0.5,-0.2,0.23,0.98748,88,-12.4,17.2
GW190630_185205,Binary Black Hole Collision,35.1,-5.5,6.5,24,-5.2,5.5,16.4,-0.3,0.2,870,-360,530,0.1,-0.13,0.14,59.4,-4.8,4.7,25.1,-2.1,2.2,0.18,-0.07,0.09,1,56.6,-4.5,4.4
GW190701_203306,Binary Black Hole Collision,54.1,-8,12.6,40.5,-12.1,8.7,11.2,-0.4,0.2,2090,-740,770,-0.08,-0.31,0.23,94.3,-9.5,12,40.2,-5,5.4,0.38,-0.12,0.11,0.99986,90.2,-8.9,11.2
GW190706_222641,Binary Black Hole Collision,74,-16.9,20.1,39.4,-15.4,18.4,13.4,-0.4,0.2,3630,-2000,2600,0.28,-0.31,0.25,112.6,-16.8,27.4,45.6,-9.1,13,0.6,-0.29,0.33,1,107.3,-15.9,25.2
GW190707_093326,Binary Black Hole Collision,12.1,-2,2.6,7.9,-1.3,1.6,13.1,-0.4,0.2,850,-400,340,-0.04,-0.09,0.1,20.1,-1.2,1.7,8.4,-0.4,0.6,0.17,-0.08,0.06,1,19.2,-1.2,1.7
GW190708_232457,Binary Black Hole Collision,19.8,-4.3,4.3,11.6,-2,3.1,13.4,-0.3,0.2,930,-390,310,0.05,-0.1,0.1,31.4,-2.2,2.8,13.1,-0.6,0.9,0.19,-0.07,0.06,0.99965,30.1,-2.1,2.9
GW190719_215514,Binary Black Hole Collision,36.6,-11.1,42.1,19.9,-9.3,10,7.9,-0.7,0.3,3730,-2070,3120,0.25,-0.32,0.33,57.2,-11.6,38.4,22.8,-4.3,8.3,0.61,-0.3,0.39,0.91976,54.5,-11.1,38.3
GW190720_000836,Binary Black Hole Collision,14.2,-3.3,5.6,7.5,-1.8,2.2,10.9,-0.8,0.3,770,-260,650,0.19,-0.11,0.14,21.8,-2,3.8,9,-0.8,0.4,0.16,-0.05,0.11,1,20.8,-2,3.9
GW190725_174728,Binary Black Hole Collision,11.8,-3,10.1,6.3,-2.5,2.1,9.1,-0.7,0.4,1030,-430,520,-0.04,-0.16,0.36,18.3,-1.9,7.4,7.4,-0.5,0.5,0.2,-0.08,0.09,0.96021,17.6,-1.8,7.7
GW190727_060333,Binary Black Hole Collision,38.9,-6,8.9,30.2,-8.3,6.5,11.7,-0.5,0.2,3070,-1230,1300,0.09,-0.27,0.25,68.8,-7.8,10.2,29.4,-3.7,4.6,0.52,-0.18,0.18,1,65.4,-7.3,9.5
GW190728_064510,Binary Black Hole Collision,12.5,-2.3,6.9,8,-2.6,1.7,13.1,-0.4,0.3,880,-380,260,0.13,-0.07,0.19,20.7,-1.4,4.2,8.6,-0.3,0.6,0.18,-0.07,0.05,1,19.7,-1.4,4.4
GW190731_140936,Binary Black Hole Collision,41.8,-9.1,12.7,29,-9.9,10.2,8.8,-0.4,0.3,3330,-1770,2350,0.07,-0.25,0.28,70.7,-11.4,16.3,29.7,-5.3,7.4,0.56,-0.26,0.31,0.83427,67.4,-10.8,15.3
GW190803_022701,Binary Black Hole Collision,37.7,-6.7,9.8,27.6,-8.5,7.6,9.3,-0.5,0.3,3190,-1470,1630,-0.01,-0.28,0.23,65,-8.1,12,27.6,-3.8,5.4,0.54,-0.22,0.22,0.97383,62.1,-7.6,11.2
GW190805_211137,Binary Black Hole Collision,46.2,-11.2,15.4,30.6,-11.3,11.8,8.1,-0.7,0.5,6130,-3080,3720,0.37,-0.39,0.29,76.7,-13.8,19.5,31.9,-6.3,8.8,0.92,-0.4,0.43,0.95372,72.4,-13.2,18.2
GW190814,Binary Black Hole Collision,23.3,-1.4,1.4,2.6,-0.1,0.1,25.3,-0.2,0.1,230,-50,40,0,-0.07,0.07,25.9,-1.3,1.3,6.11,-0.05,0.06,0.05,-0.01,0.01,1,25.7,-1.3,1.3
GW190828_063405,Binary Black Hole Collision,31.9,-4.1,5.4,25.8,-5.3,4.9,16.5,-0.3,0.2,2070,-920,650,0.15,-0.16,0.15,57.2,-4.3,7.9,24.6,-2,3.6,0.38,-0.15,0.1,1,54.3,-4,7.3
GW190828_065509,Binary Black Hole Collision,23.7,-6.7,6.8,10.4,-2.2,3.8,10.2,-0.5,0.4,1540,-650,690,0.05,-0.17,0.16,34.3,-4.3,5.2,13.4,-1,1.4,0.29,-0.11,0.11,0.99998,33,-4.3,5.3
GW190910_112807,Binary Black Hole Collision,43.8,-6.8,7.6,34.2,-7.3,6.6,14.5,-0.3,0.2,1520,-630,1090,0,-0.2,0.17,78,-9.1,9.3,33.5,-4.1,4.2,0.29,-0.11,0.17,0.99669,74.4,-8.6,8.5
GW190915_235702,Binary Black Hole Collision,32.6,-4.9,8.8,24.5,-5.8,4.9,13.1,-0.3,0.2,1750,-650,710,-0.03,-0.24,0.19,57.2,-5.3,7.1,24.4,-2.3,3,0.32,-0.11,0.11,1,54.7,-5,6.6
GW190916_200658,Binary Black Hole Collision,43.8,-12.6,19.9,23.3,-10,12.5,8.1,-0.5,0.3,4940,-2380,3710,0.2,-0.31,0.33,68,-13.1,18.3,26.9,-5.4,8.2,0.77,-0.32,0.45,0.65727,65,-12.6,17.3
GW190917_114630,Binary Black Hole Collision,9.7,-3.9,3.4,2.1,-0.4,1.1,8.3,-0.8,0.5,720,-310,300,-0.08,-0.43,0.21,11.8,-2.8,3,3.7,-0.2,0.2,0.15,-0.06,0.05,0.76643,11.6,-2.9,3.1
GW190924_021846,Binary Black Hole Collision,8.8,-1.8,4.3,5.1,-1.5,1.2,12,-0.4,0.3,550,-220,220,0.03,-0.08,0.2,13.9,-0.9,2.8,5.8,-0.2,0.2,0.11,-0.04,0.04,1,13.3,-0.9,3
GW190925_232845,Binary Black Hole Collision,20.8,-2.9,6.5,15.5,-3.6,2.5,9.7,-0.6,0.3,930,-350,460,0.09,-0.15,0.16,36.7,-2.8,3.6,15.6,-1.1,1.1,0.19,-0.07,0.08,0.98849,34.9,-2.6,3.5
GW190926_050336,Binary Black Hole Collision,41.1,-12.5,20.8,20.4,-8.2,11.4,8.1,-0.8,0.6,3280,-1730,3400,-0.02,-0.32,0.25,61.9,-12,22.7,24.4,-4.9,9,0.55,-0.26,0.44,0.54334,59.6,-11.8,22.1
GW190929_012149,Binary Black Hole Collision,66.3,-16.6,21.6,26.8,-10.6,14.7,9.7,-0.6,0.4,3130,-1370,2510,-0.03,-0.28,0.23,93.3,-15,23.3,35.6,-7.4,10.2,0.53,-0.2,0.33,0.87042,90.3,-14.6,22.3
GW190930_133541,Binary Black Hole Collision,14.2,-4,8,6.9,-2.1,2.4,9.7,-0.5,0.3,770,-320,320,0.19,-0.16,0.22,21.2,-2,5.9,8.5,-0.4,0.5,0.16,-0.06,0.06,0.99785,20.2,-2,6.1
GW191103_012549,Binary Black Hole Collision,11.8,-2.2,6.2,7.9,-2.4,1.7,8.9,-0.5,0.3,990,-470,500,0.21,-0.1,0.16,20,-1.8,3.7,8.34,-0.57,0.66,0.2,-0.09,0.09,0.94318,19,-1.7,3.8
GW191105_143521,Binary Black Hole Collision,10.7,-1.6,3.7,7.7,-1.9,1.4,9.7,-0.5,0.3,1150,-480,430,-0.02,-0.09,0.13,18.5,-1.3,2.1,7.82,-0.45,0.61,0.23,-0.09,0.07,0.99,17.6,-1.2,2.1
GW191109_010717,Binary Black Hole Collision,65,-11,11,47,-13,15,17.3,-0.5,0.5,1290,-650,1130,-0.29,-0.31,0.42,112,-16,20,47.5,-7.5,9.6,0.25,-0.12,0.18,0.99,107,-15,18
GW191113_071753,Binary Black Hole Collision,29,-14,12,5.9,-1.3,4.4,7.9,-1.1,0.5,1370,-620,1150,0,-0.29,0.37,34.5,-9.8,10.5,10.7,-1,1.1,0.26,-0.11,0.18,0.68339,34,-10,11
GW191126_115259,Binary Black Hole Collision,12.1,-2.2,5.5,8.3,-2.4,1.9,8.3,-0.5,0.2,1620,-740,740,0.21,-0.11,0.15,20.7,-2,3.4,8.65,-0.71,0.95,0.3,-0.13,0.12,0.70041,19.6,-2,3.5
GW191127_050227,Binary Black Hole Collision,53,-20,47,24,-14,17,9.2,-0.6,0.7,3400,-1900,3100,0.18,-0.36,0.34,80,-22,39,29.9,-9.1,11.7,0.57,-0.29,0.4,0.73996,76,-21,39
GW191129_134029,Binary Black Hole Collision,10.7,-2.1,4.1,6.7,-1.7,1.5,13.1,-0.3,0.2,790,-330,260,0.06,-0.08,0.16,17.5,-1.2,2.4,7.31,-0.28,0.43,0.16,-0.06,0.05,0.99,16.8,-1.2,2.5
GW191204_110529,Binary Black Hole Collision,27.3,-5.9,10.8,19.2,-6,5.5,8.9,-0.6,0.4,1900,-1100,1700,0.05,-0.26,0.25,47.1,-7.8,9.1,19.8,-3.2,3.6,0.34,-0.18,0.25,0.74239,45,-7.5,8.7
GW191204_171526,Binary Black Hole Collision,11.7,-1.7,3.3,8.4,-1.7,1.3,17.4,-0.3,0.2,640,-260,200,0.16,-0.05,0.08,20.19,-0.95,1.64,8.56,-0.28,0.41,0.13,-0.05,0.04,0.99,19.18,-0.93,1.71
GW191215_223052,Binary Black Hole Collision,24.9,-4.1,7.1,18.1,-4.1,3.8,11.2,-0.4,0.3,1930,-860,890,-0.04,-0.21,0.17,43.3,-4.3,5.3,18.4,-1.7,2.2,0.35,-0.14,0.13,0.99,41.4,-4.1,5.1
GW191216_213338,Binary Black Hole Collision,12.1,-2.2,4.6,7.7,-1.9,1.6,18.6,-0.2,0.2,340,-130,120,0.11,-0.06,0.13,19.8,-0.93,2.7,8.33,-0.19,0.22,0.07,-0.03,0.02,0.99,18.87,-0.93,2.81
GW191219_163120,Binary Black Hole & Neutron Star Collision,31.1,-2.8,2.2,1.17,-0.06,0.07,9.1,-0.8,0.5,550,-160,240,0,-0.09,0.07,32.3,-2.7,2.2,4.31,-0.17,0.12,0.11,-0.03,0.05,0.8224,32.2,-2.7,2.2
GW191222_033537,Binary Black Hole Collision,45.1,-8,10.9,34.7,-10.5,9.3,12.5,-0.3,0.2,3000,-1700,1700,-0.04,-0.25,0.2,79,-11,16,33.8,-5,7.1,0.51,-0.26,0.23,0.99,75.5,-9.9,15.3
GW191230_180458,Binary Black Hole Collision,49.4,-9.6,14,37,-12,11,10.4,-0.4,0.3,4300,-1900,2100,-0.05,-0.31,0.26,86,-12,19,36.5,-5.6,8.2,0.69,-0.27,0.26,0.96159,82,-11,17
GW200112_155838,Binary Black Hole Collision,35.6,-4.5,6.7,28.3,-5.9,4.4,19.8,-0.2,0.1,1250,-460,430,0.06,-0.15,0.15,63.9,-4.6,5.7,27.4,-2.1,2.6,0.24,-0.08,0.07,0.99,60.8,-4.3,5.3
GW200115_042309,Binary Black Hole & Neutron Star Collision,5.9,-2.5,2,1.44,-0.28,0.85,11.3,-0.5,0.3,290,-100,150,-0.15,-0.42,0.23,7.4,-1.7,1.7,2.43,-0.07,0.05,0.06,-0.02,0.03,0.99,7.2,-1.7,1.8
GW200128_022011,Binary Black Hole Collision,42.2,-8.1,11.6,32.6,-9.2,9.5,10.6,-0.4,0.3,3400,-1800,2100,0.12,-0.25,0.24,75,-12,17,32,-5.5,7.5,0.56,-0.28,0.28,0.99,71,-11,16
GW200129_065458,Binary Black Hole Collision,34.5,-3.1,9.9,29,-9.3,3.3,26.8,-0.2,0.2,890,-370,260,0.11,-0.16,0.11,63.3,-3.4,4.5,27.2,-2.3,2.1,0.18,-0.07,0.05,0.99,60.2,-3.2,4.1
GW200202_154313,Binary Black Hole Collision,10.1,-1.4,3.5,7.3,-1.7,1.1,10.8,-0.4,0.2,410,-160,150,0.04,-0.06,0.13,17.58,-0.67,1.78,7.49,-0.2,0.24,0.09,-0.03,0.03,0.99,16.76,-0.66,1.87
GW200208_130117,Binary Black Hole Collision,37.7,-6.2,9.3,27.4,-7.3,6.3,10.8,-0.4,0.3,2230,-850,1020,-0.07,-0.27,0.21,65.3,-6.8,8.1,27.7,-3.1,3.7,0.4,-0.14,0.15,0.99,62.5,-6.4,7.5
GW200208_222617,Binary Black Hole Collision,51,-30,103,12.3,-5.5,9.2,7.4,-1.2,1.4,4100,-2000,4400,0.45,-0.46,0.42,63,-26,100,19.8,-5.2,10.5,0.66,-0.29,0.53,0.70006,61,-26,99
GW200209_085452,Binary Black Hole Collision,35.6,-6.8,10.5,27.1,-7.8,7.8,9.6,-0.5,0.4,3400,-1800,1900,-0.12,-0.3,0.24,62.6,-9.4,13.9,26.7,-4.2,6,0.57,-0.26,0.25,0.97236,59.9,-8.9,13.1
GW200210_092254,Binary Black Hole Collision,24.1,-4.6,7.5,2.83,-0.42,0.47,8.4,-0.7,0.5,940,-340,430,0.02,-0.21,0.22,27,-4.3,7.1,6.56,-0.4,0.38,0.19,-0.06,0.08,0.54462,26.7,-4.3,7.2
GW200216_220804,Binary Black Hole Collision,51,-13,22,30,-16,14,8.1,-0.5,0.4,3800,-2000,3000,0.1,-0.36,0.34,81,-14,20,32.9,-8.5,9.3,0.63,-0.29,0.37,0.77277,78,-13,19
GW200219_094415,Binary Black Hole Collision,37.5,-6.9,10.1,27.9,-8.4,7.4,10.7,-0.5,0.3,3400,-1500,1700,-0.08,-0.29,0.23,65,-8.2,12.6,27.6,-3.8,5.6,0.57,-0.22,0.22,0.99,62.2,-7.8,11.7
GW200220_061928,Binary Black Hole Collision,87,-23,40,61,-25,26,7.2,-0.7,0.4,6000,-3100,4800,0.06,-0.38,0.4,148,-33,55,62,-15,23,0.9,-0.4,0.55,0.62376,141,-31,51
GW200220_124850,Binary Black Hole Collision,38.9,-8.6,14.1,27.9,-9,9.2,8.5,-0.5,0.3,4000,-2200,2800,-0.07,-0.33,0.27,67,-12,17,28.2,-5.1,7.3,0.66,-0.31,0.36,0.82579,64,-11,16
GW200224_222234,Binary Black Hole Collision,40,-4.5,6.7,32.7,-7.2,4.8,20,-0.2,0.2,1710,-650,500,0.1,-0.16,0.15,72.3,-5.3,7.2,31.1,-2.7,3.3,0.32,-0.11,0.08,0.99,68.7,-4.8,6.7
GW200225_060421,Binary Black Hole Collision,19.3,-3,5,14,-3.5,2.8,12.5,-0.4,0.3,1150,-530,510,-0.12,-0.28,0.17,33.5,-3,3.6,14.2,-1.4,1.5,0.22,-0.1,0.09,0.99,32.1,-2.8,3.5
GW200302_015811,Binary Black Hole Collision,37.8,-8.5,8.7,20,-5.7,8.1,10.8,-0.4,0.3,1480,-700,1020,0.01,-0.26,0.25,57.8,-6.9,9.6,23.4,-3,4.7,0.28,-0.12,0.16,0.90643,55.5,-6.6,8.9
GW200306_093714,Binary Black Hole Collision,28.3,-7.7,17.1,14.8,-6.4,6.5,7.8,-0.6,0.4,2100,-1100,1700,0.32,-0.46,0.28,43.9,-7.5,11.8,17.5,-3,3.5,0.38,-0.18,0.24,0.81156,41.7,-6.9,12.3
GW200308_173609,Binary Black Hole Collision,60,-29,166,24,-13,36,4.7,-2.9,2.5,7100,-4400,13900,0.16,-0.49,0.58,92,-48,169,34,-18,44,1.04,-0.57,1.47,0.8566,88,-47,169
GW200311_115853,Binary Black Hole Collision,34.2,-3.8,6.4,27.7,-5.9,4.1,17.8,-0.2,0.2,1170,-400,280,-0.02,-0.2,0.16,61.9,-4.2,5.3,26.6,-2,2.4,0.23,-0.07,0.05,0.99,59,-3.9,4.8
GW200316_215756,Binary Black Hole Collision,13.1,-2.9,10.2,7.8,-2.9,2,10.3,-0.7,0.4,1120,-440,480,0.13,-0.1,0.27,21.2,-2,7.2,8.75,-0.55,0.62,0.22,-0.08,0.08,0.99,20.2,-1.9,7.4
GW200322_091133,Binary Black Hole Collision,38,-22,130,11.3,-6,24.3,4.5,-3,2.7,3500,-2200,12500,0.27,-0.58,0.54,50,-22,132,15,-4,29.5,0.59,-0.32,1.43,0.61501,48,-22,132